# name                   	type      	redshift  	max_date  	discovery_date
#<U25                    	<U10      	<10       	<10       	<10       
2020myh                  SLSN-I    0.283     2020-06-12          2020-05-07          
2025ukr                  SLSN-I    0.22      unknown             2025-08-16          
2018hti                  SLSN-I    0.063     2018-12-17          2018-10-20          
2021vuw                  SLSN-I    0.2       2021-09-14          2021-07-21          
2023utm                  SLSN-I    0.33      unknown             2023-10-10          
2019gfm                  SLSN-I    0.1816    2019-06-15          2019-05-21          
2016wi                   SLSN-I    0.224     2015-12-28          2015-11-06          
2013hx                   SLSNII    0.135     2014-02-21          2013-12-31          
2022pjq                  SLSN-I    0.17      2022-07-27          2022-07-04          
2010gx                   SLSN-I    0.23      2010-03-27          2010-02-26          
LS-06D4eu                SLSN-I    1.588     unknown             unknown             
2025adfa                 SLSN-I    0.31      unknown             2025-11-09          
2025fpp                  SLSN-I    0.265     unknown             2025-03-05          
2023szi                  SLSN-I    0.5063    unknown             2023-08-14          
2023rgo                  SLSN-I    0.226     unknown             2023-09-04          
2018ffs                  SLSN-I    0.142     2018-09-12          2018-07-27          
2023wwx                  SLSN-I    0.29      2023-10-31          2023-09-20          
2017dwh                  SLSN-I    0.13      2017-05-12          2017-04-16          
2018ibb                  SLSN-I    0.166     2018-12-07          2018-07-28          
2019ujb                  SLSN-I    0.2       2019-11-29          2019-10-14          
2005ap                   SLSN-I    0.2832    2005-03-12          2005-02-22          
LSQ14fxj                 SLSN-I    0.36      2014-11-04          2014-09-06          
2025al                   SLSN-I    0.43      unknown             2025-01-03          
2017ens                  SLSN-I    0.1086    2017-06-23          2017-06-01          
DES16C2nm                SLSN-I    1.998     2016-08-27          2016-08-22          
2024bhu                  SLSN-I    0.28      unknown             2024-01-15          
PTF10nmn                 SLSNR     0.1237    2010-07-07          2010-03-12          
2022ivr                  SLSN-I    0.3078    unknown             2022-04-06          
2019zeu                  SLSN-I    0.39      2020-01-06          2019-11-29          
2022xgc                  SLSN-I    0.3       unknown             2022-09-24          
iPTF15beu                SLSN-I    0.261     unknown             unknown             
2020uew                  SLSN-I    0.224     2020-10-17          2020-09-15          
2022csn                  SLSN-I    0.15      unknown             unknown             
2016els                  SLSN-I    0.217     2016-08-04          2016-07-29          
2020znr                  SLSN-I    0.1       2021-01-21          2020-11-01          
2023vek                  SLSN-I    0.2466    unknown             2023-10-14          
2024afyo                 SLSN-I    0.18      unknown             2024-12-23          
PS1-12bmy                SLSN-I    1.572     2012-07-28          2012-05-07          
2025aeuq                 SLSN-I    0.135     unknown             2025-11-25          
2017jan                  SLSN-I    0.396     2017-11-13          2017-12-18          
iPTF16asu                SLSN-I    0.1868    2016-05-15          2016-05-04          
PS1-11aib                SLSN-I    0.997     2011-10-05          2011-05-26          
2024luu                  SLSN-I    0.1051    unknown             2024-06-19          
2020jii                  SLSN-I    0.396     2020-05-25          2020-04-05          
2019pvs                  SLSN-I    0.167     2019-09-17          2019-07-15          
2020zbf                  SLSN-I    0.195     2020-11-13          2020-10-09          
PTF09atu                 SLSN-I    0.501     2009-08-25          2009-05-06          
PS1-13or                 SLSN-I    1.52      2013-04-13          2013-01-12          
2024edp                  SLSN-I    0.142     unknown             2024-03-10          
2018fd                   SLSN-I    0.263     2017-11-16          2017-06-30          
2018bsz                  SLSNI     0.026665  2018-06-05          2018-05-17          
2011kf                   SLSN-I    0.245     2011-12-30          2011-12-30          
2018cxa                  SLSN-I    0.19      2018-06-16          2018-05-19          
2021ek                   SLSN-I    0.19      2021-01-20          2020-12-23          
iPTF14dck                SLSN-I    0.576     unknown             unknown             
2021lji                  SLSN-I    0.12      unknown             2021-04-20          
2019cdt                  SLSN-I    0.153     2019-04-09          2019-03-11          
2025upm                  SLSN-I    0.161     unknown             2025-08-18          
2022le                   SLSN-I    0.2491    2022-05-23          2021-08-17          
2018gft                  SLSN-I    0.23      2018-11-06          2018-08-04          
2020onb                  SLSN-I    0.153     2020-08-18          2020-06-25          
2015L                    SLSNI     0.2326    2015-06-24          2015-06-14          
2024nrw                  SLSN-I    0.24      unknown             2024-07-02          
2023bry                  SLSN-I    unknown   unknown             unknown             
2021oes                  SLSN-I    0.553     unknown             2021-05-29             
2009jh                   SLSN-I    0.3502    2009-09-05          2009-06-19          
2016eay                  SLSN-I    0.1013    2016-06-11          2016-04-30          
2017gci                  SLSN-I    0.09      2017-08-25          2017-07-26          
2022ojm                  SLSN-I    0.47      2022-08-10          2022-06-02          
2019stc                  SLSN-I    0.1178    unknown             2019-09-30          
2025qdz                  SLSN-I    0.2       unknown             2025-07-02          
2020jhm                  SLSN-I    0.06      unknown             unknown             
2020qlb                  SLSN-I    0.159     2020-10-15          2020-07-20          
iPTF16bad                SLSN-I    0.247     2016-06-03          2016-05-07          
2025yjj                  SLSN-I    0.2125    unknown             2025-09-08          
2025abcp                 SLSN-I    0.233     unknown             2025-10-20          
2016inl                  SLSN-I    0.3057    2016-11-16          2016-08-31          
2025kkb                  SLSN-I    0.58      unknown             2025-04-24          
LSQ12dlf                 SLSN-I    0.25      2012-07-30          2012-07-10          
2021xfu                  SLSN-I    0.32      2021-10-06          2021-07-16          
LS-07D2bv                SLSN-I    1.5       unknown             unknown             
2018avk                  SLSN-I    0.132     2018-05-28          2018-03-15          
iPTF13bjz                SLSN-I    0.271     2013-06-03          2013-04-29          
2025sfo                  SLSN-I    0.222     unknown             2025-07-19          
css1133+0043             SLSNI     unknown   unknown             2014-12-23          
2024qxg                  SLSN-I    0.45      unknown             2024-07-09          
2025imr                  SLSN-I    0.09      unknown             2025-04-27          
iPTF16bt                 SLSN-I    0.24      unknown             unknown             
2021hpc                  SLSN-I    0.24      2021-04-21          2021-03-01          
2018lfe                  SLSN-I    0.35      2018-12-16          2018-11-07          
2021fao                  SLSN-I    0.281     unknown             2021-03-07          
iPTF13ajg                SLSN-I    0.74      2013-04-23          2013-03-11          
2019xaq                  SLSN-I    0.2       2019-12-23          2019-11-25          
2021txk                  SLSN-I    0.46      2021-07-21          2021-06-06          
2023xci                  SLSN-I    0.24      unknown             2023-10-20          
2024adpb                 SLSN-I    0.347     unknown             2024-12-06          
iPTF14tb                 SLSN-I    0.942     unknown             unknown             
PTF10bjp                 SLSN-I    0.3585    2010-02-16          2010-01-09          
2018gkz                  SLSNI     0.24      2018-09-10          2018-09-11          
DES14X3taz               SLSN-I    0.608     2015-03-02          2015-01-09          
2019otl                  SLSN-I    0.55      2019-08-20          2019-05-26          
